"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00093721","39.17329","-76.68408","42.0","1940","42.01","53.9","62.5","45.3"
"USW00093721","39.17329","-76.68408","42.0","1941","31.63","56.9","66.6","47.2"
"USW00093721","39.17329","-76.68408","42.0","1942","43.48","56.5","65.2","47.9"
"USW00093721","39.17329","-76.68408","42.0","1943","34.95","55.9","64.7","47.1"
"USW00093721","39.17329","-76.68408","42.0","1944","40.05","56.2","64.7","47.7"
"USW00093721","39.17329","-76.68408","42.0","1945","42.26","56.6","64.9","48.3"
"USW00093721","39.17329","-76.68408","42.0","1946","34.73","57.6","66.4","48.8"
"USW00093721","39.17329","-76.68408","42.0","1947","42.86","55.8","64.1","47.5"
"USW00093721","39.17329","-76.68408","42.0","1948","61.39","56.1","64.5","47.7"
"USW00093721","39.17329","-76.68408","42.0","1949","36.32","58.4","66.8","50.1"
"USW00093721","39.17329","-76.68408","42.0","1950","38.51","55.2","64.0","46.4"
"USW00093721","39.17329","-76.68408","42.0","1951","45.83","55.5","65.6","45.4"
"USW00093721","39.17329","-76.68408","42.0","1952","56.60","56.0","65.7","46.2"
"USW00093721","39.17329","-76.68408","42.0","1953","48.27","57.0","67.4","46.6"
"USW00093721","39.17329","-76.68408","42.0","1954","27.91","55.3","65.6","45.0"
"USW00093721","39.17329","-76.68408","42.0","1955","44.18","55.1","64.7","45.4"
"USW00093721","39.17329","-76.68408","42.0","1956","39.55",,,"45.2"
"USW00093721","39.17329","-76.68408","42.0","1957","33.97","55.6","65.0","46.1"
"USW00093721","39.17329","-76.68408","42.0","1958","45.18","53.2","62.2","44.2"
"USW00093721","39.17329","-76.68408","42.0","1959","37.94","56.3","66.3","46.2"
"USW00093721","39.17329","-76.68408","42.0","1960","46.83","54.2","64.4","43.9"
"USW00093721","39.17329","-76.68408","42.0","1961","42.78","54.5","64.9","44.1"
"USW00093721","39.17329","-76.68408","42.0","1962","40.26","53.6","64.2","43.0"
"USW00093721","39.17329","-76.68408","42.0","1963","39.60","53.2","64.2","42.3"
"USW00093721","39.17329","-76.68408","42.0","1964","34.70","55.1","65.7","44.4"
"USW00093721","39.17329","-76.68408","42.0","1965","28.23","54.4","65.1","43.7"
"USW00093721","39.17329","-76.68408","42.0","1966","42.39","53.7","64.2","43.3"
"USW00093721","39.17329","-76.68408","42.0","1967","36.96","53.5","63.6","43.3"
"USW00093721","39.17329","-76.68408","42.0","1968","39.83","55.3","65.3","45.3"
"USW00093721","39.17329","-76.68408","42.0","1969","33.61","55.5","65.1","45.9"
"USW00093721","39.17329","-76.68408","42.0","1970","35.44","56.1","65.8","46.3"
"USW00093721","39.17329","-76.68408","42.0","1971","53.35","56.0","65.1","46.8"
"USW00093721","39.17329","-76.68408","42.0","1972","52.38","54.7","63.8","45.7"
"USW00093721","39.17329","-76.68408","42.0","1973","45.84","55.7","65.2","46.2"
"USW00093721","39.17329","-76.68408","42.0","1974","37.77","55.4","65.1","45.7"
"USW00093721","39.17329","-76.68408","42.0","1975","51.85","56.6","65.8","47.4"
"USW00093721","39.17329","-76.68408","42.0","1976","43.45","54.9","65.2","44.7"
"USW00093721","39.17329","-76.68408","42.0","1977","36.41","56.2","66.4","46.1"
"USW00093721","39.17329","-76.68408","42.0","1978","41.52","54.7","64.4","45.0"
"USW00093721","39.17329","-76.68408","42.0","1979","59.00","55.2","64.6","45.8"
"USW00093721","39.17329","-76.68408","42.0","1980","34.75","55.3","65.4","45.1"
"USW00093721","39.17329","-76.68408","42.0","1981","31.23","54.6","64.5","44.7"
"USW00093721","39.17329","-76.68408","42.0","1982","36.24","54.5","64.4","44.7"
"USW00093721","39.17329","-76.68408","42.0","1983","51.06","55.3","65.0","45.6"
"USW00093721","39.17329","-76.68408","42.0","1984","36.97","54.8","64.2","45.5"
"USW00093721","39.17329","-76.68408","42.0","1985","36.80","56.0","65.9","46.2"
"USW00093721","39.17329","-76.68408","42.0","1986","33.69","55.7","65.7","45.8"
"USW00093721","39.17329","-76.68408","42.0","1987","41.08","55.8","65.6","46.0"
"USW00093721","39.17329","-76.68408","42.0","1988","32.33","55.0","65.3","44.7"
"USW00093721","39.17329","-76.68408","42.0","1989","51.91","54.5","63.6","45.4"
"USW00093721","39.17329","-76.68408","42.0","1990","41.90","57.9","68.2","47.6"
"USW00093721","39.17329","-76.68408","42.0","1991","30.19","57.7","68.2","47.2"
"USW00093721","39.17329","-76.68408","42.0","1992","38.97","54.5","64.2","44.8"
"USW00093721","39.17329","-76.68408","42.0","1993","42.51","55.2","65.0","45.3"
"USW00093721","39.17329","-76.68408","42.0","1994","43.34","56.2","66.2","46.3"
"USW00093721","39.17329","-76.68408","42.0","1995","36.99","57.0","66.6","47.3"
"USW00093721","39.17329","-76.68408","42.0","1996","58.32","53.8","63.7","44.0"
"USW00093721","39.17329","-76.68408","42.0","1997","38.35","54.8","65.6","43.9"
"USW00093721","39.17329","-76.68408","42.0","1998","34.41","57.4","68.1","46.8"
"USW00093721","39.17329","-76.68408","42.0","1999","43.96","55.8","66.2","45.5"
"USW00093721","39.17329","-76.68408","42.0","2000","41.94","54.3","64.4","44.3"
"USW00093721","39.17329","-76.68408","42.0","2001","34.61","55.8","66.5","45.1"
"USW00093721","39.17329","-76.68408","42.0","2002","39.62","56.4","66.8","46.1"
"USW00093721","39.17329","-76.68408","42.0","2003","62.67","53.8","62.9","44.8"
"USW00093721","39.17329","-76.68408","42.0","2004","45.70","55.4","64.7","46.1"
"USW00093721","39.17329","-76.68408","42.0","2005","49.14","55.6","65.2","45.9"
"USW00093721","39.17329","-76.68408","42.0","2006","43.27","57.3","67.6","47.1"
"USW00093721","39.17329","-76.68408","42.0","2007","35.00","56.3","66.5","46.2"
"USW00093721","39.17329","-76.68408","42.0","2008","44.98","55.7","65.8","45.7"
"USW00093721","39.17329","-76.68408","42.0","2009","55.58","54.8","64.1","45.4"
"USW00093721","39.17329","-76.68408","42.0","2010","43.49","56.9","66.7","47.0"
"USW00093721","39.17329","-76.68408","42.0","2011","56.55","57.5","67.5","47.6"
"USW00093721","39.17329","-76.68408","42.0","2012","37.44","58.6","68.6","48.6"
"USW00093721","39.17329","-76.68408","42.0","2013","42.96","55.7","64.9","46.5"
"USW00093721","39.17329","-76.68408","42.0","2014","52.59","54.0","63.7","44.3"
"USW00093721","39.17329","-76.68408","42.0","2015","51.18","56.1","66.2","46.0"
"USW00093721","39.17329","-76.68408","42.0","2016","40.55","57.1","67.2","47.1"
"USW00093721","39.17329","-76.68408","42.0","2017","38.30","57.4","67.3","47.4"
"USW00093721","39.17329","-76.68408","42.0","2018","71.84","56.7","65.9","47.5"
"USW00093721","39.17329","-76.68408","42.0","2019","38.15","58.0","68.0","48.1"
"USW00093721","39.17329","-76.68408","42.0","2020","57.39","58.7","68.4","49.0"
"USW00093721","39.17329","-76.68408","42.0","2021","40.82","58.7","68.8","48.7"
"USW00093721","39.17329","-76.68408","42.0","2022","47.22","57.5","67.9","47.0"
"USW00093721","39.17329","-76.68408","42.0","2023",,,,
